,title,description,search_term_tf_idf,search_term_bert
370,Know My Name,"She was known to the world as Emily Doe when she stunned millions with a letter. Brock Turner had been sentenced to just six months in county jail after he was found sexually assaulting her on Stanford's campus. Her victim impact statement was posted on Buzzfeed, where it instantly went viral - viewed by eleven million people within four days, it was translated globally and read on the floor of Congress; it inspired changes in California law and the recall of the judge in the case. Thousands wrote to say that she had given them the courage to share their own experiences of assault for the first time. 

Now she reclaims her identity to tell her story of trauma, transcendence, and the power of words. It was the perfect case, in many ways - there were eyewitnesses, Turner ran away, physical evidence was immediately secured. But her struggles with isolation and shame during the aftermath and the trial reveal the oppression victims face in even the best-case scenarios. Her story illuminates a culture biased to protect perpetrators, indicts a criminal justice system designed to fail the most vulnerable, and, ultimately, shines with the courage required to move through suffering and live a full and beautiful life. 

<i>Know My Name</i> will forever transform the way we think about sexual assault, challenging our beliefs about what is acceptable and speaking truth to the tumultuous reality of healing. It also introduces readers to an extraordinary writer, one whose words have already changed our world. Entwining pain, resilience, and humour, this memoir will stand as a modern classic.",pete turner,emily
371,Dublinesque,"<b><b>SHORTLISTED FOR THE INDEPENDENT FOREIGN FICTION PRIZE</b>
<b></b>
'A writer who has no equal in the contemporary landscape of the Spanish novel.' Roberto Bolaño</b>

Samuel Riba is about to turn 60. A successful publisher in Barcelona, he is increasingly prone to attacks of anxiety and, looking for distraction, he concocts a spur-of-the-moment trip to Dublin, a city he has never visited but once dreamed about.

He sets off for Dublin on the pretext of honouring James Joyce’s <i>Ulysses</i> on Bloomsday. But as he and his friends gather in the cemetery to give their orations, a mysterious figure in a mackintosh resembling Joyce’s protégé Samuel Beckett hovers in the background. Is it Beckett, or is it the writer of genius that Riba has spent his whole career trying, and failing, to find?",dublin ink,irish author
371,Dublinesque,"<b><b>SHORTLISTED FOR THE INDEPENDENT FOREIGN FICTION PRIZE</b>
<b></b>
'A writer who has no equal in the contemporary landscape of the Spanish novel.' Roberto Bolaño</b>

Samuel Riba is about to turn 60. A successful publisher in Barcelona, he is increasingly prone to attacks of anxiety and, looking for distraction, he concocts a spur-of-the-moment trip to Dublin, a city he has never visited but once dreamed about.

He sets off for Dublin on the pretext of honouring James Joyce’s <i>Ulysses</i> on Bloomsday. But as he and his friends gather in the cemetery to give their orations, a mysterious figure in a mackintosh resembling Joyce’s protégé Samuel Beckett hovers in the background. Is it Beckett, or is it the writer of genius that Riba has spent his whole career trying, and failing, to find?",dublin ink,hemingway book
371,Dublinesque,"<b><b>SHORTLISTED FOR THE INDEPENDENT FOREIGN FICTION PRIZE</b>
<b></b>
'A writer who has no equal in the contemporary landscape of the Spanish novel.' Roberto Bolaño</b>

Samuel Riba is about to turn 60. A successful publisher in Barcelona, he is increasingly prone to attacks of anxiety and, looking for distraction, he concocts a spur-of-the-moment trip to Dublin, a city he has never visited but once dreamed about.

He sets off for Dublin on the pretext of honouring James Joyce’s <i>Ulysses</i> on Bloomsday. But as he and his friends gather in the cemetery to give their orations, a mysterious figure in a mackintosh resembling Joyce’s protégé Samuel Beckett hovers in the background. Is it Beckett, or is it the writer of genius that Riba has spent his whole career trying, and failing, to find?",dublin,irish fiction
371,Dublinesque,"<b><b>SHORTLISTED FOR THE INDEPENDENT FOREIGN FICTION PRIZE</b>
<b></b>
'A writer who has no equal in the contemporary landscape of the Spanish novel.' Roberto Bolaño</b>

Samuel Riba is about to turn 60. A successful publisher in Barcelona, he is increasingly prone to attacks of anxiety and, looking for distraction, he concocts a spur-of-the-moment trip to Dublin, a city he has never visited but once dreamed about.

He sets off for Dublin on the pretext of honouring James Joyce’s <i>Ulysses</i> on Bloomsday. But as he and his friends gather in the cemetery to give their orations, a mysterious figure in a mackintosh resembling Joyce’s protégé Samuel Beckett hovers in the background. Is it Beckett, or is it the writer of genius that Riba has spent his whole career trying, and failing, to find?",dublin ink,ernest hemingway book
371,Dublinesque,"<b><b>SHORTLISTED FOR THE INDEPENDENT FOREIGN FICTION PRIZE</b>
<b></b>
'A writer who has no equal in the contemporary landscape of the Spanish novel.' Roberto Bolaño</b>

Samuel Riba is about to turn 60. A successful publisher in Barcelona, he is increasingly prone to attacks of anxiety and, looking for distraction, he concocts a spur-of-the-moment trip to Dublin, a city he has never visited but once dreamed about.

He sets off for Dublin on the pretext of honouring James Joyce’s <i>Ulysses</i> on Bloomsday. But as he and his friends gather in the cemetery to give their orations, a mysterious figure in a mackintosh resembling Joyce’s protégé Samuel Beckett hovers in the background. Is it Beckett, or is it the writer of genius that Riba has spent his whole career trying, and failing, to find?",love dublin,literary fiction
372,Penguin Readers Level 2: Private (ELT Graded Reader),"With <b>carefully adapted text</b>, <b>new illustrations</b>, <b>language practise activities</b> and additional <b>online resources</b>, the Penguin Readers series introduces language learners to <b>bestselling authors and compelling content</b>. Titles include <b>popular classics</b>, exciting <b>contemporary fiction</b>, and thought-provoking <b>non-fiction</b>.

Private, a Level 2 Reader, is A1+ in the CEFR framework. Sentences contain a maximum of two clauses, introducing the future tenses <i>will</i> and <i>going to</i>, present continuous for future meaning, and comparatives and superlatives. It is well supported by illustrations, which appear on most pages.

<i>Jack Morgan has a company called Private. Private helps people. Sometimes, Private helps the police, too. Now, Jack's friend is dead. Private must find the killer. </i>",private assistant,literary fiction 2022
372,Penguin Readers Level 2: Private (ELT Graded Reader),"With <b>carefully adapted text</b>, <b>new illustrations</b>, <b>language practise activities</b> and additional <b>online resources</b>, the Penguin Readers series introduces language learners to <b>bestselling authors and compelling content</b>. Titles include <b>popular classics</b>, exciting <b>contemporary fiction</b>, and thought-provoking <b>non-fiction</b>.

Private, a Level 2 Reader, is A1+ in the CEFR framework. Sentences contain a maximum of two clauses, introducing the future tenses <i>will</i> and <i>going to</i>, present continuous for future meaning, and comparatives and superlatives. It is well supported by illustrations, which appear on most pages.

<i>Jack Morgan has a company called Private. Private helps people. Sometimes, Private helps the police, too. Now, Jack's friend is dead. Private must find the killer. </i>",wittgenstein private notebook,literature
372,Penguin Readers Level 2: Private (ELT Graded Reader),"With <b>carefully adapted text</b>, <b>new illustrations</b>, <b>language practise activities</b> and additional <b>online resources</b>, the Penguin Readers series introduces language learners to <b>bestselling authors and compelling content</b>. Titles include <b>popular classics</b>, exciting <b>contemporary fiction</b>, and thought-provoking <b>non-fiction</b>.

Private, a Level 2 Reader, is A1+ in the CEFR framework. Sentences contain a maximum of two clauses, introducing the future tenses <i>will</i> and <i>going to</i>, present continuous for future meaning, and comparatives and superlatives. It is well supported by illustrations, which appear on most pages.

<i>Jack Morgan has a company called Private. Private helps people. Sometimes, Private helps the police, too. Now, Jack's friend is dead. Private must find the killer. </i>",private,cgp english literature
372,Penguin Readers Level 2: Private (ELT Graded Reader),"With <b>carefully adapted text</b>, <b>new illustrations</b>, <b>language practise activities</b> and additional <b>online resources</b>, the Penguin Readers series introduces language learners to <b>bestselling authors and compelling content</b>. Titles include <b>popular classics</b>, exciting <b>contemporary fiction</b>, and thought-provoking <b>non-fiction</b>.

Private, a Level 2 Reader, is A1+ in the CEFR framework. Sentences contain a maximum of two clauses, introducing the future tenses <i>will</i> and <i>going to</i>, present continuous for future meaning, and comparatives and superlatives. It is well supported by illustrations, which appear on most pages.

<i>Jack Morgan has a company called Private. Private helps people. Sometimes, Private helps the police, too. Now, Jack's friend is dead. Private must find the killer. </i>",private instructor,book 2021
372,Penguin Readers Level 2: Private (ELT Graded Reader),"With <b>carefully adapted text</b>, <b>new illustrations</b>, <b>language practise activities</b> and additional <b>online resources</b>, the Penguin Readers series introduces language learners to <b>bestselling authors and compelling content</b>. Titles include <b>popular classics</b>, exciting <b>contemporary fiction</b>, and thought-provoking <b>non-fiction</b>.

Private, a Level 2 Reader, is A1+ in the CEFR framework. Sentences contain a maximum of two clauses, introducing the future tenses <i>will</i> and <i>going to</i>, present continuous for future meaning, and comparatives and superlatives. It is well supported by illustrations, which appear on most pages.

<i>Jack Morgan has a company called Private. Private helps people. Sometimes, Private helps the police, too. Now, Jack's friend is dead. Private must find the killer. </i>",private bejing,nlp book
373,Nothing Ever Just Disappears,"At the turn of the century, in the shade of Cambridge's cloisters, a young E. M. Forster conceals his passion for other men, even as he daydreams about the sun-warmed bodies of ancient Greece. Under the dazzling lights of interwar Paris, Josephine Baker dances her way to fame and fortune and discovers sexual freedom backstage at the Folies Bergère. And on Jersey, in the darkest days of Nazi occupation, the transgressive surrealist Claude Cahun mounts an extraordinary resistance to save the island she loves, scattering hundreds of dissident artworks along its streets and shorelines.

<i>Nothing Ever Just Disappears </i>brings to life the stories of seven remarkable figures and illuminates the connections between where they lived, who they loved, and the art they created. It shows that a queer sense of place is central to the history of the twentieth century and powerfully evokes how much is lost when queer spaces are forgotten. From the lesbian London of the suffragettes to James Baldwin's home in Provence, to Jack Smith's New York, Kevin Killian's San Francisco and the Dungeness cottage of Derek Jarman, this is a thrilling new history and a celebration of freedom, survival and the hidden places of the imagination.",queer,victorian romance
373,Nothing Ever Just Disappears,"At the turn of the century, in the shade of Cambridge's cloisters, a young E. M. Forster conceals his passion for other men, even as he daydreams about the sun-warmed bodies of ancient Greece. Under the dazzling lights of interwar Paris, Josephine Baker dances her way to fame and fortune and discovers sexual freedom backstage at the Folies Bergère. And on Jersey, in the darkest days of Nazi occupation, the transgressive surrealist Claude Cahun mounts an extraordinary resistance to save the island she loves, scattering hundreds of dissident artworks along its streets and shorelines.

<i>Nothing Ever Just Disappears </i>brings to life the stories of seven remarkable figures and illuminates the connections between where they lived, who they loved, and the art they created. It shows that a queer sense of place is central to the history of the twentieth century and powerfully evokes how much is lost when queer spaces are forgotten. From the lesbian London of the suffragettes to James Baldwin's home in Provence, to Jack Smith's New York, Kevin Killian's San Francisco and the Dungeness cottage of Derek Jarman, this is a thrilling new history and a celebration of freedom, survival and the hidden places of the imagination.",gear queer,century girl
373,Nothing Ever Just Disappears,"At the turn of the century, in the shade of Cambridge's cloisters, a young E. M. Forster conceals his passion for other men, even as he daydreams about the sun-warmed bodies of ancient Greece. Under the dazzling lights of interwar Paris, Josephine Baker dances her way to fame and fortune and discovers sexual freedom backstage at the Folies Bergère. And on Jersey, in the darkest days of Nazi occupation, the transgressive surrealist Claude Cahun mounts an extraordinary resistance to save the island she loves, scattering hundreds of dissident artworks along its streets and shorelines.

<i>Nothing Ever Just Disappears </i>brings to life the stories of seven remarkable figures and illuminates the connections between where they lived, who they loved, and the art they created. It shows that a queer sense of place is central to the history of the twentieth century and powerfully evokes how much is lost when queer spaces are forgotten. From the lesbian London of the suffragettes to James Baldwin's home in Provence, to Jack Smith's New York, Kevin Killian's San Francisco and the Dungeness cottage of Derek Jarman, this is a thrilling new history and a celebration of freedom, survival and the hidden places of the imagination.",social history book,transvestite fiction
373,Nothing Ever Just Disappears,"At the turn of the century, in the shade of Cambridge's cloisters, a young E. M. Forster conceals his passion for other men, even as he daydreams about the sun-warmed bodies of ancient Greece. Under the dazzling lights of interwar Paris, Josephine Baker dances her way to fame and fortune and discovers sexual freedom backstage at the Folies Bergère. And on Jersey, in the darkest days of Nazi occupation, the transgressive surrealist Claude Cahun mounts an extraordinary resistance to save the island she loves, scattering hundreds of dissident artworks along its streets and shorelines.

<i>Nothing Ever Just Disappears </i>brings to life the stories of seven remarkable figures and illuminates the connections between where they lived, who they loved, and the art they created. It shows that a queer sense of place is central to the history of the twentieth century and powerfully evokes how much is lost when queer spaces are forgotten. From the lesbian London of the suffragettes to James Baldwin's home in Provence, to Jack Smith's New York, Kevin Killian's San Francisco and the Dungeness cottage of Derek Jarman, this is a thrilling new history and a celebration of freedom, survival and the hidden places of the imagination.",lgbtq,steamy historical romance
373,Nothing Ever Just Disappears,"At the turn of the century, in the shade of Cambridge's cloisters, a young E. M. Forster conceals his passion for other men, even as he daydreams about the sun-warmed bodies of ancient Greece. Under the dazzling lights of interwar Paris, Josephine Baker dances her way to fame and fortune and discovers sexual freedom backstage at the Folies Bergère. And on Jersey, in the darkest days of Nazi occupation, the transgressive surrealist Claude Cahun mounts an extraordinary resistance to save the island she loves, scattering hundreds of dissident artworks along its streets and shorelines.

<i>Nothing Ever Just Disappears </i>brings to life the stories of seven remarkable figures and illuminates the connections between where they lived, who they loved, and the art they created. It shows that a queer sense of place is central to the history of the twentieth century and powerfully evokes how much is lost when queer spaces are forgotten. From the lesbian London of the suffragettes to James Baldwin's home in Provence, to Jack Smith's New York, Kevin Killian's San Francisco and the Dungeness cottage of Derek Jarman, this is a thrilling new history and a celebration of freedom, survival and the hidden places of the imagination.",social experiment,fashion history book
374,What If...?,"What if ...
...Your front tooth is knocked out?
...You are staying at a friend's house and by mistake you break something?
...You come home from school and you smell gas?
...Your hamster has escaped?
...You are bullied at school?
...There is a strange man lurking by the playground?

Today's world is perceived to be a much more dangerous place than it was twenty or thirty years' ago. Whether it is or not, events can happen in everyday life which can worry, scare or upset a child. <i>What if...</i> aims to provide children with basic, practical, commonsense strategies to deal with life - at school, at home, at a friend's house and out &amp; about.

Containing up to 100 different scenarios, <i>What if... </i>is designed to appeal to children as they learn to deal with life independently and is an essential reference for all parents and teachers who want to bring up confident, happy children.",favorite child,classic dilemma
374,What If...?,"What if ...
...Your front tooth is knocked out?
...You are staying at a friend's house and by mistake you break something?
...You come home from school and you smell gas?
...Your hamster has escaped?
...You are bullied at school?
...There is a strange man lurking by the playground?

Today's world is perceived to be a much more dangerous place than it was twenty or thirty years' ago. Whether it is or not, events can happen in everyday life which can worry, scare or upset a child. <i>What if...</i> aims to provide children with basic, practical, commonsense strategies to deal with life - at school, at home, at a friend's house and out &amp; about.

Containing up to 100 different scenarios, <i>What if... </i>is designed to appeal to children as they learn to deal with life independently and is an essential reference for all parents and teachers who want to bring up confident, happy children.",ninth child,dirty little midlife
374,What If...?,"What if ...
...Your front tooth is knocked out?
...You are staying at a friend's house and by mistake you break something?
...You come home from school and you smell gas?
...Your hamster has escaped?
...You are bullied at school?
...There is a strange man lurking by the playground?

Today's world is perceived to be a much more dangerous place than it was twenty or thirty years' ago. Whether it is or not, events can happen in everyday life which can worry, scare or upset a child. <i>What if...</i> aims to provide children with basic, practical, commonsense strategies to deal with life - at school, at home, at a friend's house and out &amp; about.

Containing up to 100 different scenarios, <i>What if... </i>is designed to appeal to children as they learn to deal with life independently and is an essential reference for all parents and teachers who want to bring up confident, happy children.",child demeter,somebody home
374,What If...?,"What if ...
...Your front tooth is knocked out?
...You are staying at a friend's house and by mistake you break something?
...You come home from school and you smell gas?
...Your hamster has escaped?
...You are bullied at school?
...There is a strange man lurking by the playground?

Today's world is perceived to be a much more dangerous place than it was twenty or thirty years' ago. Whether it is or not, events can happen in everyday life which can worry, scare or upset a child. <i>What if...</i> aims to provide children with basic, practical, commonsense strategies to deal with life - at school, at home, at a friend's house and out &amp; about.

Containing up to 100 different scenarios, <i>What if... </i>is designed to appeal to children as they learn to deal with life independently and is an essential reference for all parents and teachers who want to bring up confident, happy children.",lincoln child chrysalis,somebody home
374,What If...?,"What if ...
...Your front tooth is knocked out?
...You are staying at a friend's house and by mistake you break something?
...You come home from school and you smell gas?
...Your hamster has escaped?
...You are bullied at school?
...There is a strange man lurking by the playground?

Today's world is perceived to be a much more dangerous place than it was twenty or thirty years' ago. Whether it is or not, events can happen in everyday life which can worry, scare or upset a child. <i>What if...</i> aims to provide children with basic, practical, commonsense strategies to deal with life - at school, at home, at a friend's house and out &amp; about.

Containing up to 100 different scenarios, <i>What if... </i>is designed to appeal to children as they learn to deal with life independently and is an essential reference for all parents and teachers who want to bring up confident, happy children.",lazarus child,bad situation
375,Spy Line,"Bernard Samson is a spy on the run. But in the murky streets of Berlin, he knows where to hide. Wanted for an act of treachery he has not committed, he must not only escape the grasp of London Central, but get to the bottom of a tangled conspiracy that is about to change everything. In the thrilling penultimate instalment of the Hook, Line and Sinker trilogy, Bernard's personal and professional life collide with devastating consequences.

A BERNARD SAMSON NOVEL",montgomery bernard,spy thriller book
375,Spy Line,"Bernard Samson is a spy on the run. But in the murky streets of Berlin, he knows where to hide. Wanted for an act of treachery he has not committed, he must not only escape the grasp of London Central, but get to the bottom of a tangled conspiracy that is about to change everything. In the thrilling penultimate instalment of the Hook, Line and Sinker trilogy, Bernard's personal and professional life collide with devastating consequences.

A BERNARD SAMSON NOVEL",bernard mahoney,spy thriller paperback
375,Spy Line,"Bernard Samson is a spy on the run. But in the murky streets of Berlin, he knows where to hide. Wanted for an act of treachery he has not committed, he must not only escape the grasp of London Central, but get to the bottom of a tangled conspiracy that is about to change everything. In the thrilling penultimate instalment of the Hook, Line and Sinker trilogy, Bernard's personal and professional life collide with devastating consequences.

A BERNARD SAMSON NOVEL",bernard mclaverty,spy thriller
375,Spy Line,"Bernard Samson is a spy on the run. But in the murky streets of Berlin, he knows where to hide. Wanted for an act of treachery he has not committed, he must not only escape the grasp of London Central, but get to the bottom of a tangled conspiracy that is about to change everything. In the thrilling penultimate instalment of the Hook, Line and Sinker trilogy, Bernard's personal and professional life collide with devastating consequences.

A BERNARD SAMSON NOVEL",bernard cribbens,spy thriller
375,Spy Line,"Bernard Samson is a spy on the run. But in the murky streets of Berlin, he knows where to hide. Wanted for an act of treachery he has not committed, he must not only escape the grasp of London Central, but get to the bottom of a tangled conspiracy that is about to change everything. In the thrilling penultimate instalment of the Hook, Line and Sinker trilogy, Bernard's personal and professional life collide with devastating consequences.

A BERNARD SAMSON NOVEL",bernard omahoney book,spy book
376,"I, Michael Bennett","<b>________________________</b>
<b>What happens when the justice system comes under assault?</b>

Detective Michael Bennett arrests infamous South American crime lord Manuel Perrine in a deadly chase that leaves Bennett’s lifelong friend Hughie McDonough dead. From jail, the prisoner vows to rain terror down upon New York City - and to get revenge on Michael Bennett.

Perrine's men create chaos: police officers are shot, judges murdered. As Bennett is engulfed in the struggle against this widening organised violence, he realises that not only is he being targeted, but that the lives of everyone he loves are under threat.",michael bennett 1,crime thriller
376,"I, Michael Bennett","<b>________________________</b>
<b>What happens when the justice system comes under assault?</b>

Detective Michael Bennett arrests infamous South American crime lord Manuel Perrine in a deadly chase that leaves Bennett’s lifelong friend Hughie McDonough dead. From jail, the prisoner vows to rain terror down upon New York City - and to get revenge on Michael Bennett.

Perrine's men create chaos: police officers are shot, judges murdered. As Bennett is engulfed in the struggle against this widening organised violence, he realises that not only is he being targeted, but that the lives of everyone he loves are under threat.",michael bennett 9,runaway justice
376,"I, Michael Bennett","<b>________________________</b>
<b>What happens when the justice system comes under assault?</b>

Detective Michael Bennett arrests infamous South American crime lord Manuel Perrine in a deadly chase that leaves Bennett’s lifelong friend Hughie McDonough dead. From jail, the prisoner vows to rain terror down upon New York City - and to get revenge on Michael Bennett.

Perrine's men create chaos: police officers are shot, judges murdered. As Bennett is engulfed in the struggle against this widening organised violence, he realises that not only is he being targeted, but that the lives of everyone he loves are under threat.",coen sawyer bennett,crime thriller book
376,"I, Michael Bennett","<b>________________________</b>
<b>What happens when the justice system comes under assault?</b>

Detective Michael Bennett arrests infamous South American crime lord Manuel Perrine in a deadly chase that leaves Bennett’s lifelong friend Hughie McDonough dead. From jail, the prisoner vows to rain terror down upon New York City - and to get revenge on Michael Bennett.

Perrine's men create chaos: police officers are shot, judges murdered. As Bennett is engulfed in the struggle against this widening organised violence, he realises that not only is he being targeted, but that the lives of everyone he loves are under threat.",breezie bennett,crime beat
376,"I, Michael Bennett","<b>________________________</b>
<b>What happens when the justice system comes under assault?</b>

Detective Michael Bennett arrests infamous South American crime lord Manuel Perrine in a deadly chase that leaves Bennett’s lifelong friend Hughie McDonough dead. From jail, the prisoner vows to rain terror down upon New York City - and to get revenge on Michael Bennett.

Perrine's men create chaos: police officers are shot, judges murdered. As Bennett is engulfed in the struggle against this widening organised violence, he realises that not only is he being targeted, but that the lives of everyone he loves are under threat.",liv bennett,brutal crime
377,The Penguin History of Britain,"No period in British history today retains more resonance and mystery than the sixteenth century. The leading figures of the time have become almost mythical, and the terrors and grandeurs of Tudor Britain have resonance with even the least historically minded readers. Above all Brigden sees the key to the Tudor world as religion - the new world of Protestantism and its battle with the the old world of uniform Catholicism. This great religious rent in the fabric of English society underlies the savage violence and turbulence of the period - from Henry VIII's break with Rome to the overwhelming threat of the Spanish Armada. 'NEW WORLDS, LOST WORLDS' is a startlingly atmospheric tour de force.",rjaals resonance,british history book
377,The Penguin History of Britain,"No period in British history today retains more resonance and mystery than the sixteenth century. The leading figures of the time have become almost mythical, and the terrors and grandeurs of Tudor Britain have resonance with even the least historically minded readers. Above all Brigden sees the key to the Tudor world as religion - the new world of Protestantism and its battle with the the old world of uniform Catholicism. This great religious rent in the fabric of English society underlies the savage violence and turbulence of the period - from Henry VIII's break with Rome to the overwhelming threat of the Spanish Armada. 'NEW WORLDS, LOST WORLDS' is a startlingly atmospheric tour de force.",resonance,book century
377,The Penguin History of Britain,"No period in British history today retains more resonance and mystery than the sixteenth century. The leading figures of the time have become almost mythical, and the terrors and grandeurs of Tudor Britain have resonance with even the least historically minded readers. Above all Brigden sees the key to the Tudor world as religion - the new world of Protestantism and its battle with the the old world of uniform Catholicism. This great religious rent in the fabric of English society underlies the savage violence and turbulence of the period - from Henry VIII's break with Rome to the overwhelming threat of the Spanish Armada. 'NEW WORLDS, LOST WORLDS' is a startlingly atmospheric tour de force.",tudor history book,another century
377,The Penguin History of Britain,"No period in British history today retains more resonance and mystery than the sixteenth century. The leading figures of the time have become almost mythical, and the terrors and grandeurs of Tudor Britain have resonance with even the least historically minded readers. Above all Brigden sees the key to the Tudor world as religion - the new world of Protestantism and its battle with the the old world of uniform Catholicism. This great religious rent in the fabric of English society underlies the savage violence and turbulence of the period - from Henry VIII's break with Rome to the overwhelming threat of the Spanish Armada. 'NEW WORLDS, LOST WORLDS' is a startlingly atmospheric tour de force.",cj tudor,medieval history fiction
377,The Penguin History of Britain,"No period in British history today retains more resonance and mystery than the sixteenth century. The leading figures of the time have become almost mythical, and the terrors and grandeurs of Tudor Britain have resonance with even the least historically minded readers. Above all Brigden sees the key to the Tudor world as religion - the new world of Protestantism and its battle with the the old world of uniform Catholicism. This great religious rent in the fabric of English society underlies the savage violence and turbulence of the period - from Henry VIII's break with Rome to the overwhelming threat of the Spanish Armada. 'NEW WORLDS, LOST WORLDS' is a startlingly atmospheric tour de force.",e tudor,medieval history
378,Charlie and Lola: I Completely Love Winter,"This really very good Charlie and Lola book combines two snowy stories, perfect for cold winter bedtimes: <i>Snow is My Favourite and My Best </i>and <i>I Really Need Actual Ice Skates. </i>

In the first story, Lola is extremely excited because it's going to snow. Lola says, 'Snow is my FAVOURITE and my best. Why can't it snow every day?' 

In the second story, Lola can't wait to go ice skating. Lola says, 'I will be the best ice-skaterer in the WHOLE school!'",mahal kita lola,book ice
378,Charlie and Lola: I Completely Love Winter,"This really very good Charlie and Lola book combines two snowy stories, perfect for cold winter bedtimes: <i>Snow is My Favourite and My Best </i>and <i>I Really Need Actual Ice Skates. </i>

In the first story, Lola is extremely excited because it's going to snow. Lola says, 'Snow is my FAVOURITE and my best. Why can't it snow every day?' 

In the second story, Lola can't wait to go ice skating. Lola says, 'I will be the best ice-skaterer in the WHOLE school!'",lola wright chub,alice hunter book
378,Charlie and Lola: I Completely Love Winter,"This really very good Charlie and Lola book combines two snowy stories, perfect for cold winter bedtimes: <i>Snow is My Favourite and My Best </i>and <i>I Really Need Actual Ice Skates. </i>

In the first story, Lola is extremely excited because it's going to snow. Lola says, 'Snow is my FAVOURITE and my best. Why can't it snow every day?' 

In the second story, Lola can't wait to go ice skating. Lola says, 'I will be the best ice-skaterer in the WHOLE school!'",lola,snow book
378,Charlie and Lola: I Completely Love Winter,"This really very good Charlie and Lola book combines two snowy stories, perfect for cold winter bedtimes: <i>Snow is My Favourite and My Best </i>and <i>I Really Need Actual Ice Skates. </i>

In the first story, Lola is extremely excited because it's going to snow. Lola says, 'Snow is my FAVOURITE and my best. Why can't it snow every day?' 

In the second story, Lola can't wait to go ice skating. Lola says, 'I will be the best ice-skaterer in the WHOLE school!'",chub lola wright,daisy book
378,Charlie and Lola: I Completely Love Winter,"This really very good Charlie and Lola book combines two snowy stories, perfect for cold winter bedtimes: <i>Snow is My Favourite and My Best </i>and <i>I Really Need Actual Ice Skates. </i>

In the first story, Lola is extremely excited because it's going to snow. Lola says, 'Snow is my FAVOURITE and my best. Why can't it snow every day?' 

In the second story, Lola can't wait to go ice skating. Lola says, 'I will be the best ice-skaterer in the WHOLE school!'",lola wright pigeon,sophie mckenzie book
379,Fraud,"Slowly, almost imperceptibly, Anna Durrant's acquaintances realize that Anna has gone missing. Normally so reliable, so helpful, she has neglected what duties remain to her after the death of her mother and taken flight. 

Lawrence Halliday, the family doctor, trapped in a trying marriage to the predatory Vickie, is the first to notice Anna's disappearance. Mrs Marsh, a critical friend of Anna's mother, had hoped that her arrogant son Nick might take an interest in Anna, but he is seeking greater sophistication and worldliness. And as for Anna herself, she has not so much disappeared as ceased to exist as the woman they all thought they knew.",anna hackett striker,novella
379,Fraud,"Slowly, almost imperceptibly, Anna Durrant's acquaintances realize that Anna has gone missing. Normally so reliable, so helpful, she has neglected what duties remain to her after the death of her mother and taken flight. 

Lawrence Halliday, the family doctor, trapped in a trying marriage to the predatory Vickie, is the first to notice Anna's disappearance. Mrs Marsh, a critical friend of Anna's mother, had hoped that her arrogant son Nick might take an interest in Anna, but he is seeking greater sophistication and worldliness. And as for Anna herself, she has not so much disappeared as ceased to exist as the woman they all thought they knew.",pest anna willett,little miss book
379,Fraud,"Slowly, almost imperceptibly, Anna Durrant's acquaintances realize that Anna has gone missing. Normally so reliable, so helpful, she has neglected what duties remain to her after the death of her mother and taken flight. 

Lawrence Halliday, the family doctor, trapped in a trying marriage to the predatory Vickie, is the first to notice Anna's disappearance. Mrs Marsh, a critical friend of Anna's mother, had hoped that her arrogant son Nick might take an interest in Anna, but he is seeking greater sophistication and worldliness. And as for Anna herself, she has not so much disappeared as ceased to exist as the woman they all thought they knew.",anna jacob,literary fiction
379,Fraud,"Slowly, almost imperceptibly, Anna Durrant's acquaintances realize that Anna has gone missing. Normally so reliable, so helpful, she has neglected what duties remain to her after the death of her mother and taken flight. 

Lawrence Halliday, the family doctor, trapped in a trying marriage to the predatory Vickie, is the first to notice Anna's disappearance. Mrs Marsh, a critical friend of Anna's mother, had hoped that her arrogant son Nick might take an interest in Anna, but he is seeking greater sophistication and worldliness. And as for Anna herself, she has not so much disappeared as ceased to exist as the woman they all thought they knew.",anna hackett norcross,miss read book
379,Fraud,"Slowly, almost imperceptibly, Anna Durrant's acquaintances realize that Anna has gone missing. Normally so reliable, so helpful, she has neglected what duties remain to her after the death of her mother and taken flight. 

Lawrence Halliday, the family doctor, trapped in a trying marriage to the predatory Vickie, is the first to notice Anna's disappearance. Mrs Marsh, a critical friend of Anna's mother, had hoped that her arrogant son Nick might take an interest in Anna, but he is seeking greater sophistication and worldliness. And as for Anna herself, she has not so much disappeared as ceased to exist as the woman they all thought they knew.",anna lou weatherly,literary fiction 2022
380,Liar's Beach,"<b>WE WERE LIARS meets GOSSIP GIRL - this YA thriller with a splash of dark academia is full of secrets, lies, privileged teens and beach parties. The perfect summer read.</b>

A body in the pool. A friend who might be an enemy. A vacation they'll never forget . . .

Linden has always felt like an outsider and spending the summer at his best friend's vacation house, surrounded by money and privilege is doing nothing to lessen his imposter syndrome. But he soon has bigger concerns than fitting in - there's a body in the pool and everyone's a suspect - including him.",beach house vacation,teen fiction
380,Liar's Beach,"<b>WE WERE LIARS meets GOSSIP GIRL - this YA thriller with a splash of dark academia is full of secrets, lies, privileged teens and beach parties. The perfect summer read.</b>

A body in the pool. A friend who might be an enemy. A vacation they'll never forget . . .

Linden has always felt like an outsider and spending the summer at his best friend's vacation house, surrounded by money and privilege is doing nothing to lessen his imposter syndrome. But he soon has bigger concerns than fitting in - there's a body in the pool and everyone's a suspect - including him.",pool girl,teenage fiction
